@timestamp,node_description,node_name,error_code,error_message,error_color,requires_ui
2025-05-15T05:46:05.513-05:00,91 - TBM/12,91_6_IUT,M0A05,Jam on Pit lane,Red,No
2025-05-15T05:46:09.405-05:00,127 - ALQ/2,127_2_ALQ,M01A1,Robotic Arm Safety Shield Open,Red,Maintenance
2025-05-15T05:46:42.387-05:00,104 - FIM/3,104_3_BIM,12C9,Sample Tube Presence Sensor Error,Red,Yes
2025-05-15T05:46:44.094-05:00,104 - FIM/3,104_3_BIM,12C9,Sample Tube Presence Sensor Error,Red,Yes
2025-05-15T05:48:18.641-05:00,91 - TBM/12,91_6_IUT,M0A05,Jam on Pit lane,Red,No
2025-05-15T05:49:02.127-05:00,137 - UTC/2,137_2_UTC(SLAVE),S0033,CANoE: Timeout receiving answer,Red,Yes
2025-05-15T05:49:04.628-05:00,105 - FIM/4,105_4_BIM,12B6,Robot Not Homed,Red,Yes
2025-05-15T05:49:16.337-05:00,129 - ALQ/4,129_4_ALQ,M01D1,Printer Out of Paper,Red,Maintenance
2025-05-15T05:49:21.699-05:00,105 - FIM/4,105_4_BIM,12C6,Safety Shield Open,Red,Yes
2025-05-15T05:49:35.131-05:00,133 - PRM/2,133_2_PRM,4BC0,Cap Container Empty,Red,Maintenance
2025-05-15T05:49:59.888-05:00,105 - FIM/4,105_4_BIM,12B6,Robot Not Homed,Red,Yes
2025-05-15T05:50:05.240-05:00,50 - IAU/2,50_2_IAU,5CE3,Safety shield open,Red,User Error
2025-05-15T05:50:05.348-05:00,50 - IAU/2,50_2_IAU,89C1,Place Operation - Movement fail,Red,No
2025-05-15T05:50:33.335-05:00,105 - FIM/4,105_4_BIM,12B6,Robot Not Homed,Red,Yes
2025-05-15T05:50:35.649-05:00,105 - FIM/4,105_4_BIM,12B6,Robot Not Homed,Red,Yes
2025-05-15T05:50:37.863-05:00,105 - FIM/4,105_4_BIM,12B6,Robot Not Homed,Red,Yes
2025-05-15T05:50:39.551-05:00,105 - FIM/4,105_4_BIM,12B6,Robot Not Homed,Red,Yes
2025-05-15T05:51:49.715-05:00,50 - IAU/2,50_2_IAU,89C1,Place Operation - Movement fail,Red,No
2025-05-15T05:51:57.094-05:00,129 - ALQ/4,129_4_ALQ,M01D1,Printer Out of Paper,Red,Maintenance
2025-05-15T05:52:16.871-05:00,129 - ALQ/4,129_4_ALQ,M01F5,Diagnostic Command Denied,Red,User Error
2025-05-15T05:52:18.891-05:00,129 - ALQ/4,129_4_ALQ,M01D1,Printer Out of Paper,Red,Maintenance
2025-05-15T05:52:36.820-05:00,127 - ALQ/2,127_2_ALQ,M01B8,Robotic Arm Moving Fault,Red,Yes
2025-05-15T05:52:45.587-05:00,49 - IAU/1,49_1_IAU,5C96,Analyzer Exit - Rack not detected,Red,No
2025-05-15T05:54:19.526-05:00,105 - FIM/4,105_4_BIM,SC051,Wrong Carrier Flow,Red,Maintenance
2025-05-15T05:55:07.312-05:00,129 - ALQ/4,129_4_ALQ,M01A0,Printer Not In Position,Red,User Error
2025-05-15T05:55:34.187-05:00,163 - UTC/28,163_28_UTC(SLAVE),S0033,CANoE: Timeout receiving answer,Red,Yes
2025-05-15T05:57:45.675-05:00,104 - FIM/3,104_3_BIM,12C4,Hopper - Tube Elevator Up Motion Error,Red,Yes
2025-05-15T05:59:24.065-05:00,126 - ALQ/1,126_1_ALQ,M01F5,Diagnostic Command Denied,Red,User Error
2025-05-15T06:01:05.690-05:00,126 - ALQ/1,126_1_ALQ,M01DB,Liquid Waste Tank Missing,Red,User Error
2025-05-15T06:01:14.108-05:00,126 - ALQ/1,126_1_ALQ,M01DB,Liquid Waste Tank Missing,Red,User Error
2025-05-15T06:01:57.832-05:00,126 - ALQ/1,126_1_ALQ,M01DB,Liquid Waste Tank Missing,Red,User Error
2025-05-15T06:02:03.544-05:00,129 - ALQ/4,129_4_ALQ,8011,Carrier Not Arrived on Antenna,Red,Maintenance
