@timestamp,node_description,node_name,error_code,error_message,error_color,requires_ui
2025-05-15T09:04:10.261-05:00,78 - SM/6,78_6_SM,06AA,Foil Released in the Cutter Area,Red,Yes
2025-05-15T09:04:23.625-05:00,78 - SM/6,78_6_SM,S0066,Diagnostic Macro Not Found,Red,No
2025-05-15T09:05:51.589-05:00,91 - TBM/12,91_6_IUT,M0A05,Jam on Pit lane,Red,No
2025-05-15T09:06:06.525-05:00,79 - SM/7,79_7_SM,06A5,Safety Shield Open,Red,Maintenance
2025-05-15T09:06:31.779-05:00,78 - SM/6,78_6_SM,06A5,Safety Shield Open,Red,Maintenance
2025-05-15T09:07:24.734-05:00,10 - TBM/2,10_2_IUT,M0A05,Jam on Pit lane,Red,No
2025-05-15T09:12:44.498-05:00,10 - TBM/2,10_2_IUT,M0A05,Jam on Pit lane,Red,No
2025-05-15T09:15:54.699-05:00,10 - TBM/2,10_2_IUT,M0A05,Jam on Pit lane,Red,No
2025-05-15T09:17:48.776-05:00,68 - TBM/10,68_5_IUT,M0A05,Jam on Pit lane,Red,No
2025-05-15T09:17:53.130-05:00,104 - FIM/3,104_3_BIM,12C1,Sample Tube Missing In Gripper During Loading,Red,Yes
